year,year_start,icd_chapter,fce,admissions,emergency,waiting_list,planned,male,female,emergency_ratio
1998-99,1998,Ch.I  Infectious & parasitic,141687.0,128189.0,104509.0,17148.0,0.0,73012.0,0.0,0.8153
1998-99,1998,Ch.II  Neoplasms,1431875.0,1344883.0,202011.0,727142.0,0.0,687859.0,0.0,0.1502
1998-99,1998,Ch.IV  Endocrine & metabolic,143072.0,126236.0,53947.0,57350.0,0.0,68336.0,0.0,0.4274
1998-99,1998,Ch.IX  Circulatory system,1056617.0,853905.0,512173.0,281713.0,0.0,580629.0,0.0,0.5998
1998-99,1998,Ch.V  Mental & behavioural,243039.0,221462.0,141825.0,29542.0,0.0,123232.0,0.0,0.6404
1998-99,1998,Ch.VI  Nervous system,228387.0,202251.0,88208.0,91100.0,0.0,105568.0,0.0,0.4361
1998-99,1998,Ch.VII/VIII  Eye & Ear,458055.0,455291.0,34870.0,413198.0,0.0,198397.0,0.0,0.0766
1998-99,1998,Ch.X  Respiratory system,756312.0,649087.0,459088.0,166950.0,0.0,392748.0,0.0,0.7073
1998-99,1998,Ch.XI  Digestive system,1264987.0,1132352.0,335498.0,735368.0,0.0,633167.0,0.0,0.2963
1998-99,1998,Ch.XII  Skin,252218.0,237844.0,84099.0,143353.0,0.0,125782.0,0.0,0.3536
1998-99,1998,Ch.XIII  Musculoskeletal,636295.0,612541.0,117839.0,454522.0,0.0,281151.0,0.0,0.1924
1998-99,1998,Ch.XIV  Genitourinary,791000.0,751225.0,171121.0,524872.0,0.0,286270.0,0.0,0.2278
1998-99,1998,Ch.XIX  Injury & poisoning,12715036.0,11691204.0,4354326.0,4639973.0,0.0,5559863.0,0.0,0.3724
1998-99,1998,Ch.XV  Pregnancy & childbirth,1182057.0,1165250.0,140794.0,112098.0,0.0,54.0,0.0,0.1208
1998-99,1998,Ch.XVI  Perinatal,189561.0,166356.0,15059.0,2056.0,0.0,104876.0,0.0,0.0905
1998-99,1998,Ch.XVII  Congenital,98629.0,92135.0,9443.0,58373.0,0.0,57512.0,0.0,0.1025
1998-99,1998,Ch.XVIII  Symptoms & signs,1316929.0,1188368.0,692017.0,341355.0,0.0,588471.0,0.0,0.5823
