year,year_start,icd_chapter,fce,admissions,emergency,waiting_list,planned,male,female,emergency_ratio
2018-19,2018,Ch.I  Infectious & parasitic,736619.0,481037.0,416217.0,49478.0,11829.0,375168.0,361427.0,0.8652
2018-19,2018,Ch.II  Neoplasms,2713748.0,2484035.0,223364.0,1111065.0,1142148.0,1337038.0,1376570.0,0.0899
2018-19,2018,Ch.IV  Endocrine & metabolic,416718.0,309946.0,144607.0,67231.0,96216.0,205739.0,210962.0,0.4666
2018-19,2018,Ch.IX  Circulatory system,1500845.0,947224.0,573573.0,289403.0,47730.0,863302.0,637486.0,0.6055
2018-19,2018,Ch.V  Mental & behavioural,275286.0,175879.0,145554.0,11198.0,13753.0,145358.0,129455.0,0.8276
2018-19,2018,Ch.VI  Nervous system,466886.0,376551.0,134687.0,148886.0,88803.0,212618.0,254245.0,0.3577
2018-19,2018,Ch.VII/VIII  Eye & Ear,826317.0,806846.0,61489.0,654307.0,90338.0,374791.0,451411.0,0.0762
2018-19,2018,Ch.X  Respiratory system,1774607.0,1094428.0,892913.0,153125.0,39349.0,874511.0,900051.0,0.8159
2018-19,2018,Ch.XI  Digestive system,2619886.0,2258974.0,563562.0,1425200.0,265204.0,1298216.0,1321495.0,0.2495
2018-19,2018,Ch.XII  Skin,452407.0,365794.0,195516.0,145502.0,22649.0,232813.0,219565.0,0.5345
2018-19,2018,Ch.XIII  Musculoskeletal,1415658.0,1305064.0,292172.0,839880.0,167871.0,575272.0,840161.0,0.2239
2018-19,2018,Ch.XIV  Genitourinary,1191955.0,930993.0,417427.0,437428.0,70725.0,516651.0,675256.0,0.4484
2018-19,2018,Ch.XIX  Injury & poisoning,22105428.0,18194196.0,7277366.0,6567562.0,2451298.0,10084770.0,12016229.0,0.4
2018-19,2018,Ch.XV  Pregnancy & childbirth,1255421.0,1210033.0,133363.0,66808.0,20012.0,5.0,1255410.0,0.1102
2018-19,2018,Ch.XVI  Perinatal,295980.0,250698.0,50818.0,2471.0,2859.0,162523.0,133309.0,0.2027
2018-19,2018,Ch.XVII  Congenital,118777.0,104073.0,10287.0,61402.0,19217.0,68909.0,49824.0,0.0988
2018-19,2018,Ch.XVIII  Symptoms & signs,2295725.0,1929188.0,1299363.0,481401.0,102665.0,1039422.0,1254418.0,0.6735
2018-19,2018,Ch.XXI  Health status factors,1059123.0,1030033.0,43637.0,283555.0,171266.0,473617.0,584800.0,0.0424
2018-19,2018,Other,12.0,4.0,3.0,0.0,0.0,8.0,4.0,0.75
2019-20,2019,Ch.I  Infectious & parasitic,705497.0,454701.0,393701.0,46412.0,11428.0,358356.0,346996.0,0.8658
2019-20,2019,Ch.II  Neoplasms,2805093.0,2572040.0,228314.0,1158337.0,1177995.0,1378022.0,1426577.0,0.0888
2019-20,2019,Ch.IV  Endocrine & metabolic,441960.0,328467.0,151740.0,75392.0,99291.0,219397.0,222425.0,0.462
2019-20,2019,Ch.IX  Circulatory system,1534819.0,964163.0,595834.0,282154.0,48775.0,881061.0,653153.0,0.618
