icd_chapter,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Ch.I  Infectious & parasitic,104509.0,103786.0,111934.0,117597.0,114476.0,112728.0,121102.0,127766.0,136370.0,139958.0,145156.0,155959.0,173850.0,173791.0,282611.0,265891.0,284102.0,306087.0,334413.0,443873.0,416217.0,393701.0,228302.0,335182.0,335443.0,352559.0
Ch.II  Neoplasms,202011.0,205398.0,201841.0,205334.0,208606.0,207252.0,213399.0,218843.0,216592.0,213684.0,214746.0,219768.0,216102.0,215733.0,208280.0,201821.0,208262.0,209880.0,214519.0,216205.0,223364.0,228314.0,212998.0,242496.0,239937.0,248138.0
Ch.IV  Endocrine & metabolic,53947.0,56738.0,56777.0,59570.0,63007.0,66276.0,70854.0,77422.0,80305.0,83510.0,90635.0,95288.0,100666.0,101464.0,104314.0,108738.0,114401.0,120662.0,126683.0,134706.0,144607.0,151740.0,141763.0,161308.0,161118.0,171766.0
Ch.IX  Circulatory system,512173.0,507002.0,496819.0,484012.0,491366.0,486389.0,486284.0,488990.0,477080.0,473512.0,481816.0,486550.0,486564.0,491614.0,498497.0,507245.0,517691.0,535875.0,541330.0,556544.0,573573.0,595834.0,556810.0,619283.0,595461.0,639908.0
Ch.V  Mental & behavioural,141825.0,136155.0,130008.0,126173.0,127285.0,125131.0,129584.0,128207.0,123334.0,119972.0,120598.0,129142.0,130633.0,131980.0,134276.0,136943.0,139434.0,142234.0,136393.0,137986.0,145554.0,146042.0,135533.0,133654.0,114666.0,120646.0
Ch.VI  Nervous system,88208.0,87517.0,87350.0,87985.0,89440.0,92319.0,96953.0,103908.0,105566.0,107098.0,25300.0,122191.0,123262.0,122110.0,121272.0,122979.0,127504.0,129705.0,127268.0,128769.0,134687.0,137294.0,125761.0,137572.0,122300.0,134971.0
Ch.VII/VIII  Eye & Ear,34870.0,34862.0,34983.0,34609.0,34007.0,36394.0,38946.0,41583.0,39029.0,39272.0,42547.0,43172.0,43909.0,41277.0,43519.0,44396.0,47291.0,50061.0,52939.0,56868.0,61489.0,66056.0,47761.0,59629.0,63479.0,69684.0
Ch.X  Respiratory system,459088.0,451928.0,423152.0,441208.0,440652.0,485552.0,505423.0,527758.0,529614.0,531611.0,584412.0,580584.0,625077.0,607101.0,677856.0,665257.0,748834.0,791063.0,840118.0,867886.0,892913.0,929878.0,413473.0,670901.0,802756.0,868212.0
Ch.XI  Digestive system,335498.0,345970.0,349871.0,350247.0,367031.0,376212.0,409161.0,431832.0,438458.0,449615.0,465380.0,489209.0,503023.0,514734.0,456395.0,474850.0,491775.0,508708.0,520928.0,525133.0,563562.0,581043.0,538048.0,587214.0,565132.0,619962.0
Ch.XII  Skin,84099.0,90386.0,95461.0,96719.0,101808.0,109247.0,114340.0,119591.0,121003.0,121579.0,126919.0,130444.0,134051.0,133729.0,135478.0,144744.0,154567.0,164045.0,172446.0,177799.0,195516.0,205483.0,151583.0,177999.0,186931.0,206898.0
Ch.XIII  Musculoskeletal,117839.0,120466.0,123770.0,123379.0,131027.0,138786.0,157058.0,176549.0,182667.0,184325.0,198522.0,212472.0,210064.0,201409.0,202179.0,211728.0,224061.0,239847.0,248426.0,265562.0,292172.0,303196.0,260253.0,306329.0,281562.0,314071.0
Ch.XIV  Genitourinary,171121.0,174213.0,176670.0,177474.0,184916.0,198160.0,219388.0,239483.0,249821.0,256127.0,275720.0,295522.0,309898.0,319275.0,341480.0,358240.0,379110.0,392798.0,408829.0,377179.0,417427.0,420817.0,351007.0,391019.0,383477.0,417186.0
Ch.XIX  Injury & poisoning,4354326.0,4424351.0,4417116.0,4460923.0,4526597.0,4760220.0,5071394.0,5358850.0,5420193.0,5487900.0,5761364.0,5976991.0,6093253.0,6047262.0,766696.0,6214477.0,6418866.0,6562835.0,6675462.0,6908561.0,7277366.0,7350309.0,6174101.0,6976974.0,6758933.0,7269077.0
Ch.XV  Pregnancy & childbirth,140794.0,141970.0,131980.0,130877.0,133299.0,130787.0,139557.0,147638.0,146673.0,149944.0,149749.0,154568.0,147176.0,145018.0,132790.0,127827.0,127036.0,128777.0,129123.0,130010.0,133363.0,132622.0,124246.0,138093.0,137330.0,151581.0
Ch.XVI  Perinatal,15059.0,15460.0,16106.0,16064.0,17342.0,18094.0,20558.0,22922.0,26380.0,29174.0,34009.0,37348.0,39331.0,39949.0,42244.0,43343.0,45317.0,48050.0,50102.0,49715.0,50818.0,51897.0,45511.0,50304.0,49914.0,52590.0
Ch.XVII  Congenital,9443.0,9310.0,8750.0,9093.0,9168.0,9199.0,9458.0,10014.0,10471.0,10326.0,10419.0,11024.0,10787.0,10447.0,10399.0,10028.0,10066.0,10390.0,10207.0,10234.0,10287.0,10622.0,10089.0,10463.0,10171.0,10722.0
Ch.XVIII  Symptoms & signs,692017.0,714377.0,799138.0,816150.0,817052.0,916072.0,1007296.0,1042597.0,1038227.0,1053277.0,1142162.0,1160763.0,1177644.0,1144404.0,1138627.0,1152875.0,1152464.0,1149783.0,1137607.0,1173071.0,1299363.0,1253459.0,1094609.0,1235743.0,1159635.0,1307050.0
